"","x"
"GSM1090720",4
"GSM1090686",4
"GSM1090569",3
"GSM1090555",3
"GSM1090526",3
"GSM1090512",3
"GSM1090549",3
"GSM1090700",3
"GSM1090642",3
"GSM1090585",3
"GSM1090572",3
"GSM1090528",3
"GSM1090561",3
"GSM1090707",3
"GSM1090529",3
"GSM1090504",3
"GSM1090657",3
"GSM1090689",3
"GSM1090567",3
"GSM1090691",3
"GSM1090525",3
"GSM1090513",3
"GSM1090680",3
"GSM1090692",3
"GSM1090511",3
"GSM1090507",4
"GSM1090506",3
"GSM1090508",3
"GSM1090515",4
"GSM1090516",3
"GSM1090518",3
"GSM1090519",3
"GSM1090524",3
"GSM1090527",4
"GSM1090532",4
"GSM1090534",4
"GSM1090535",3
"GSM1090536",3
"GSM1090544",3
"GSM1090548",4
"GSM1090550",4
"GSM1090551",4
"GSM1090553",4
"GSM1090554",3
"GSM1090556",3
"GSM1090557",3
"GSM1090559",4
"GSM1090562",4
"GSM1090563",3
"GSM1090565",4
"GSM1090566",4
"GSM1090568",4
"GSM1090570",4
"GSM1090571",3
"GSM1090574",4
"GSM1090575",4
"GSM1090577",4
"GSM1090578",3
"GSM1090580",3
"GSM1090584",3
"GSM1090586",4
"GSM1090589",3
"GSM1090591",4
"GSM1090592",4
"GSM1090602",4
"GSM1090610",4
"GSM1090615",4
"GSM1090616",4
"GSM1090617",4
"GSM1090618",4
"GSM1090620",3
"GSM1090623",4
"GSM1090626",3
"GSM1090628",3
"GSM1090633",3
"GSM1090635",6
"GSM1090638",3
"GSM1090639",3
"GSM1090640",4
"GSM1090645",4
"GSM1090646",3
"GSM1090648",4
"GSM1090649",4
"GSM1090650",4
"GSM1090651",4
"GSM1090653",4
"GSM1090654",4
"GSM1090655",3
"GSM1090658",4
"GSM1090659",3
"GSM1090662",3
"GSM1090665",4
"GSM1090667",3
"GSM1090668",4
"GSM1090671",3
"GSM1090673",3
"GSM1090676",4
"GSM1090678",4
"GSM1090693",4
"GSM1090696",4
"GSM1090697",4
"GSM1090699",4
"GSM1090704",4
"GSM1090706",3
"GSM1090708",3
"GSM1090710",4
"GSM1090711",4
"GSM1090713",4
"GSM1090714",4
"GSM1090715",4
"GSM1090716",4
"GSM1090717",4
"GSM1090718",4
"GSM1090719",4
"GSM1090721",4
"GSM1090722",4
"GSM1090723",4
"GSM1090724",4
"GSM1090725",4
"GSM1090726",4
"GSM1090727",4
"GSM1090728",4
"GSM1090729",4
"GSM1090730",4
"GSM1090612",4
"GSM1090547",3
"GSM1090541",3
"GSM1090666",3
"GSM1090674",3
"GSM1090679",3
"GSM1090581",3
"GSM1090540",3
"GSM1090690",3
"GSM1090564",6
"GSM1090560",6
"GSM1090624",6
"GSM1090630",1
"GSM1090599",1
"GSM1090502",1
"GSM1090501",1
"GSM1090712",4
"GSM1090688",3
"GSM1090652",3
"GSM1090604",4
"GSM1090576",4
"GSM1090594",5
"GSM1090593",5
"GSM1090605",5
"GSM1090606",5
"GSM1090607",5
"GSM1090636",5
"GSM1090660",5
"GSM1090664",5
"GSM1090517",5
"GSM1090530",5
"GSM1090510",5
"GSM1090641",5
"GSM1090590",5
"GSM1090521",5
"GSM1090537",5
"GSM1090531",5
"GSM1090539",5
"GSM1090695",1
"GSM1090613",4
"GSM1090644",2
"GSM1090573",2
"GSM1090509",2
"GSM1090503",2
"GSM1090514",2
"GSM1090523",2
"GSM1090533",2
"GSM1090538",2
"GSM1090542",2
"GSM1090543",2
"GSM1090545",2
"GSM1090546",2
"GSM1090552",2
"GSM1090558",2
"GSM1090579",2
"GSM1090583",2
"GSM1090587",2
"GSM1090595",2
"GSM1090596",2
"GSM1090597",2
"GSM1090598",2
"GSM1090600",2
"GSM1090601",2
"GSM1090603",2
"GSM1090608",2
"GSM1090609",2
"GSM1090611",2
"GSM1090614",2
"GSM1090619",2
"GSM1090621",2
"GSM1090622",2
"GSM1090625",2
"GSM1090627",2
"GSM1090631",2
"GSM1090632",2
"GSM1090634",2
"GSM1090637",2
"GSM1090643",2
"GSM1090647",2
"GSM1090656",2
"GSM1090663",2
"GSM1090669",2
"GSM1090670",2
"GSM1090672",2
"GSM1090675",2
"GSM1090677",2
"GSM1090681",2
"GSM1090682",2
"GSM1090683",2
"GSM1090684",2
"GSM1090685",2
"GSM1090687",2
"GSM1090694",2
"GSM1090698",2
"GSM1090701",2
"GSM1090702",2
"GSM1090705",2
"GSM1090709",2
"GSM1090629",2
"GSM1090661",2
"GSM1090703",2
"GSM1090520",2
"GSM1090505",2
"GSM1090522",2
"GSM1090588",2
"GSM1090582",2
