"","x"
"Abiotrophia",0.000452199669829597
"Achromobacter",2.38175458453583e-05
"Aggregatibacter",0.000208337586809654
"Alkaliphilus",0.000150170123492203
"Anaerobaculum",2.27345555656719e-07
"Anaerofustis",0.000112571612620343
"Azospirillum",4.07947718772964e-07
"Bilophila",0.0146727676559114
"Candidatus_Hamiltonella",4.76296747509302e-06
"Chitinophaga",4.21590206909555e-06
"Chlamydia",8.69024527145509e-06
"Desulfovibrio",0.00646177357959808
"Geobacter",7.63173412133546e-06
"Gramella",1.1870483770786e-07
"Helicobacter",5.46689883560553e-05
"Limnobacter",9.74432230280318e-07
"Lutiella",6.0724401034535e-07
"Macrococcus",1.03655502733563e-05
"Methylocystis",8.21404590616875e-07
"Mucilaginibacter",3.28815125458296e-08
"Nitrobacter",1.4137623195485e-07
"Pantoea",3.73998413558034e-05
"Pelobacter",2.61402117892581e-06
"Peptoniphilus",0.000516623543607442
"Pseudoflavonifractor",0.00977792171478562
"Riemerella",1.17108046687902e-05
"Rothia",2.42960635193049e-06
"Solobacterium",0.000433941064729767
"Synechococcus",4.4624521388359e-05
"Thauera",7.68541465207806e-06
"Treponema",0.000742065161989085
"Turicibacter",0.000731399096080173
"Xanthobacter",7.6427990214161e-07
"Xenorhabdus",4.68016420484081e-06
"Xylanimonas",7.3098355711171e-08
"Xylella",5.19304543268022e-07
