"","x"
"ED9A",4
"SZEY-41A",4
"MH0257",4
"V1.FI05",4
"MH0234",4
"MH0274",4
"MH0425",4
"V1.UC61-0",4
"NOF001",4
"O2.UC47-2",4
"159369152-stool2",4
"V1.FI13",4
"MH0038",4
"338793263-stool1",4
"MH0150",4
"N039A",4
"NOF013",4
"DLF013",4
"MH361",4
"764042746-stool1",4
"MH0441",4
"MH0099",4
"O2.UC11-1",4
"V1.CD22-0",4
"O2.UC36-0",4
"MH0428",4
"V1.FI37",4
"V1.CD3-0",4
"MH325",4
"O2.UC57-2",4
"V1.UC2-0",4
"MH0286",4
"MH357",4
"V1.FI04",4
"O2.UC31-0",4
"NOM014",4
"MH0059",4
"MH363",4
"N051A",4
"T2D-70A",4
"O2.UC36-2",4
"MH0403",4
"N049A",4
"T2D-114A",4
"160603188-stool1",4
"MH0455",4
"MH0127",4
"MH0396",4
"N083A",4
"T2D-149A",4
"DLM021",4
"MH0292",4
"SZEY-66A",4
"DOM001",4
"686765762-stool1",4
"T2D-59A",4
"MH0447",4
"V1.FI16",4
"MH0456",4
"MH0330",4
"MH0089",4
"V1.CD42-0",4
"MH0116",4
"N028A",4
"MH0366",4
"T2D-14A",4
"MH0316",4
"MH0431",4
"V1.UC38-4",4
"V1.UC28-0",4
"MH0287",4
"T2D-156A",4
"765701615-stool1",4
"O2.UC36-1",4
"MH0166",4
"T2D-103A",4
"V1.FI02",4
"MH0087",4
"MH337",4
"MH0118",4
"764487809-stool1",4
"NOM015",4
"MH0298",4
"N003A",4
"NLM015",4
"MH0268",4
"159207311-stool1",4
"MH358",4
"MH0090",4
"DOF014",4
"NOM022",4
"O2.UC55-2",4
"SZEY-35A",4
"MH374",4
"O2.UC34-2",4
"O2.UC32-0",4
"NLF011",4
"SZEY-29A",4
"V1.UC14-0",4
"DOM018",4
"MH0134",4
"T2D-78A",4
"NOF005",4
"T2D-51A",4
"MH0098",4
"MH0200",4
"MH0314",4
"V1.UC17-0",4
"V1.CD3-3-PN",4
"MH0042",4
"MH0329",4
"V1.UC19-0",4
"NLF007",4
"MH0301",4
"O2.UC35-1",4
"N021A",4
"MH0013",4
"MH0272",4
"MH0245",4
"MH0026",4
"V1.UC62-0",4
"MH394",4
"DOF007",4
"V1.UC21-4",4
"NLF009",4
"V1.FI03",4
"DLM014",4
"MH0290",4
"V1.CD16-0",4
"160704339-stool1",4
"T2D-26A",4
"MH385",4
"MH0163",4
"MH0086",4
"MH359",4
"T2D-113A",4
"O2.UC51-2",4
"N038A",4
"SZEY-104A",4
"T2D-150A",4
"158256496-stool1",4
"V1.CD49-0",4
"MH367",4
"764224817-stool1",4
"V1.CD55-0",4
"MH0133",4
"NOF006",4
"MH0393",4
"V1.FI09",4
"MH0251",4
"MH0212",4
"MH0310",4
"764487809-stool2",4
"O2.UC44-1",4
"DLM020",4
"N043A",4
"MH0173",4
"V1.UC40-1",4
"V1.UC33-0",4
"NOF002",4
"MH0297",4
"N009A",4
"NLM031",4
"DLM003",4
"763577454-stool1",4
"V1.CD1-3-PN",4
"MH0280",4
"MH0364",4
"763759525-stool1",4
"O2.UC21-2",4
"764184357-stool1",4
"N024A",4
"MH0009",4
"159611913-stool2",4
"O2.UC12-0",4
"MH0031",4
"MH259",4
"NLM004",4
"V1.FI11",4
"706846339-stool1",4
"MH0188",4
"MH0308",4
"763820215-stool2",4
"158944319-stool2",4
"MH0162",4
"DLM001",4
"MH0417",4
"NOF012",4
"V1.CD34-0",4
"V1.CD17-4",4
"V1.CD6-0-PN",4
"NLM010",4
"NLF015",4
"MH0121",4
"DLF010",4
"T2D-206A",4
"O2.UC47-0",4
"763536994-stool1",4
"O2.UC22-2",4
"158499257-stool1",4
"ED10A",4
"MH0035",4
"NLM003",4
"MH0044",4
"MH0131",4
"V1.CD25-4",4
"765620695-stool1",4
"T2D-34A",4
"NOM019",4
"765013792-stool1",4
"MH0440",4
"V1.CD35-0",4
"V1.CD38-0",4
"MH0262",4
"MH0211",4
"NLM001",4
"O2.UC44-2",4
"T2D-133A",4
"MH0423",4
"MH0416",4
"V1.UC64-0",4
"SZEY-97A",4
"O2.UC13-0",4
"N064A",4
"DOM013",4
"MH386",4
"MH0351",4
"V1.CD21-4",4
"O2.UC11-0",4
"MH0224",4
"MH0054",4
"MH0388",4
"MH350",4
"MH0204",4
"MH0191",4
"V1.UC23-0",4
"O2.UC47-1",4
"N086A",4
"O2.UC21-1",4
"NOM010",4
"MH0160",4
"N006A",4
"764325968-stool2",4
"T2D-47A",4
"V1.CD17-0",4
"MH0146",4
"MH0147",4
"O2.UC8-0",4
"765560005-stool1",4
"O2.CD1-0-PT",4
"MH0402",4
"MH0275",4
"MH339",4
"O2.UC26-1",4
"V1.FI01",4
"MH0047",4
"N103A",4
"764062976-stool1",4
"V1.UC59-0",4
"O2.UC20-1",4
"765074482-stool2",4
"MH0129",4
"MH0221",4
"MH0270",4
"O2.UC48-0",4
"O2.UC18-0",4
"V1.FI29",4
"NOF004",4
"O2.UC22-1",4
"MH271",4
"MH0135",4
"MH293",4
"737052003-stool1",4
