"","x"
"1","Abiotrophia"
"2","Achromobacter"
"3","Aggregatibacter"
"4","Alkaliphilus"
"5","Anaerobaculum"
"6","Anaerofustis"
"7","Azospirillum"
"8","Bilophila"
"9","Candidatus_Hamiltonella"
"10","Chitinophaga"
"11","Chlamydia"
"12","Desulfovibrio"
"13","Geobacter"
"14","Gramella"
"15","Helicobacter"
"16","Limnobacter"
"17","Lutiella"
"18","Macrococcus"
"19","Methylocystis"
"20","Mucilaginibacter"
"21","Nitrobacter"
"22","Pantoea"
"23","Pelobacter"
"24","Peptoniphilus"
"25","Pseudoflavonifractor"
"26","Riemerella"
"27","Rothia"
"28","Solobacterium"
"29","Synechococcus"
"30","Thauera"
"31","Treponema"
"32","Turicibacter"
"33","Xanthobacter"
"34","Xenorhabdus"
"35","Xylanimonas"
"36","Xylella"
